Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
22-08-2026,188,110,79,27,262,44,233,158,27
23-08-2026,93,225,79,27,123,65,260,27,116
24-08-2026,173,166,118,52,172,49,240,73,150
25-08-2026,78,125,50,51,98,54,145,42,60
26-08-2026,33,164,133,2,38,35,220,17,106
27-08-2026,28,84,84,4,27,30,169,16,179
28-08-2026,53,159,24,71,50,68,80,11,188
29-08-2026,111,86,13,4,153,18,31,37,34
30-08-2026,190,140,138,19,245,55,281,109,43
31-08-2026,73,173,106,22,52,61,256,16,319
01-09-2026,93,158,131,41,114,65,283,59,185
02-09-2026,98,174,86,14,80,50,212,25,122
03-09-2026,100,152,62,46,130,59,159,75,353
04-09-2026,70,172,63,75,91,57,183,42,314
05-09-2026,170,177,110,28,172,68,171,65,171
06-09-2026,207,169,174,19,221,61,274,71,92
07-09-2026,172,137,44,41,193,54,98,80,178
08-09-2026,174,35,158,68,219,15,411,94,199
09-09-2026,34,48,102,14,30,20,198,10,282
10-09-2026,163,161,83,55,110,29,171,51,255
11-09-2026,137,48,100,20,154,7,247,81,140
12-09-2026,128,70,137,14,96,15,407,42,132
13-09-2026,90,292,94,1,111,65,183,70,24
14-09-2026,109,159,14,66,121,71,36,83,197
15-09-2026,161,95,68,13,202,29,102,61,268
16-09-2026,128,142,116,49,84,24,303,29,281
17-09-2026,131,105,122,74,140,36,224,30,138
18-09-2026,28,40,121,73,17,17,251,6,215
19-09-2026,139,157,73,10,106,28,231,27,63
20-09-2026,157,236,136,26,203,57,460,105,22
